DateTime,Name,Country,Volatility,Actual,Previous,Consensus
02/03/2016 22:30:00,RBNZ Assistant Governor McDermott Speech,New Zealand,2,,,
02/04/2016 07:15:00,Federal Reserve Bank of Boston President Rosengren Speech,United States,1,,,
02/04/2016 08:00:00,ECB President Draghi's Speech,European Monetary Union,3,,,
02/04/2016 09:00:00,Economic Bulletin,European Monetary Union,2,,,
02/04/2016 11:57:53,10-y Bond Auction,France,1,0.670,0.860,
02/04/2016 12:00:00,BoE Asset Purchase Facility,United Kingdom,3,375.000,375.000,375.000
02/04/2016 12:00:00,Monetary Policy Summary,United Kingdom,2,,,
02/04/2016 12:00:00,Bank of England Quarterly Inflation Report,United Kingdom,2,,,
02/04/2016 12:00:00,BOE MPC Vote Unchanged,United Kingdom,3,9.000,8.000,8.000
02/04/2016 12:00:00,BOE MPC Vote Cut,United Kingdom,3,0.000,0.000,0.000
02/04/2016 12:00:00,Bank of England Minutes,United Kingdom,2,,,
02/04/2016 12:00:00,BOE MPC Vote Hike,United Kingdom,3,0.000,1.000,1.000
02/04/2016 12:30:00,Challenger Job Cuts (YoY),United States,1,75.114,23.622,
02/04/2016 12:45:00,BOE's Governor Carney speech,United Kingdom,3,,,
02/04/2016 13:30:00,Continuing Jobless Claims,United States,1,2.255,2.268,2.240
02/04/2016 13:30:00,Initial Jobless Claims,United States,2,285.000,278.000,280.000
02/04/2016 13:30:00,Unit Labor Costs,United States,1,4.500,1.800,3.900
02/05/2016 08:00:00,Foreign Currency Reserves,Switzerland,1,575.000,560.000,
02/05/2016 13:30:00,Average Hourly Earnings (YoY),United States,2,2.500,2.500,
02/05/2016 13:30:00,Nonfarm Payrolls,United States,3,151.000,292.000,190.000
02/05/2016 13:30:00,Unemployment Rate,United States,3,4.900,5.000,5.000
02/05/2016 13:30:00,Average Hourly Earnings (MoM),United States,2,0.500,0.000,0.300
02/05/2016 13:30:00,Labor Force Participation Rate,United States,2,62.700,62.600,
02/05/2016 13:30:00,Average Weekly Hours,United States,1,34.600,34.500,34.500
02/08/2016 15:00:00,Labor Market Conditions Index,United States,2,0.400,2.900,
02/08/2016 16:30:00,3-Month Bill Auction,United States,1,0.315,0.350,
02/08/2016 16:30:00,6-Month Bill Auction,United States,1,0.420,0.465,
02/09/2016 06:45:00,Unemployment Rate s.a (MoM),Switzerland,3,3.400,3.400,3.400
02/09/2016 07:45:00,Individual Investment (Current Year),France,1,7.000,3.000,
02/09/2016 09:30:00,MPC Member Cunliffe Speech,United Kingdom,1,,,
02/09/2016 15:00:00,JOLTS Job Openings,United States,1,5.600,5.431,5.400
